Year,Packing band,Monofilament,Rope,Flasher,Unknown,Scar
2010,0.333333333,0.333333333,0.333333333,0,0,0
2011,0.25,0.125,0,0,0.375,0.25
2012,0.151515152,0.090909091,0,0,0.545454545,0.212121212
2013,0.230769231,0,0.076923077,0,0.538461538,0.153846154
2014,0.294117647,0,0.176470588,0,0.411764706,0.117647059
2015,0.166666667,0,0,0,0.833333333,0
2016,0.434782609,0,0,0,0.304347826,0.260869565
2017,0.115384615,0,0,0.115384615,0.461538462,0.307692308
2018,0.5,0,0,0,0.5,0
